temperature,timestamp,wind_speed,description,pressure,humidity
8,1590790800,17,Fair,1024.93,66
8,1590792600,17,Fair,1025.93,66
7,1590794400,17,Fair,1025.93,71
8,1590796200,15,Fair,1025.93,66
8,1590798000,20,Fair,1026.93,71
8,1590799800,11,Fair,1026.93,71
8,1590801600,13,Fair,1026.93,71
8,1590803400,15,Fair,1027.92,71
8,1590805200,13,Fair,1027.92,71
8,1590807000,13,Fair,1027.92,71
8,1590808800,6,Fair,1028.92,71
9,1590810600,9,Fair,1028.92,66
9,1590812400,11,Fair,1028.92,66
10,1590814200,15,Fair,1029.92,62
11,1590816000,15,Fair,1029.92,58
11,1590817800,11,Fair,1029.92,58
12,1590819600,11,Fair,1029.92,54
12,1590821400,9,Fair,1029.92,54
13,1590823200,9,Fair,1029.92,51
13,1590825000,11,Fair,1029.92,47
14,1590826800,13,Fair,1030.92,44
14,1590828600,11,Fair,1030.92,44
14,1590830400,9,Fair,1030.92,41
14,1590832200,15,Fair,1030.92,41
15,1590834000,13,Fair,1030.92,48
14,1590835800,15,Fair,1030.92,51
15,1590837600,13,Fair,1030.92,48
15,1590839400,17,Fair,1030.92,45
15,1590841200,15,Fair,1030.92,45
15,1590843000,15,Fair,1030.92,45
16,1590844800,15,Fair,1029.92,42
15,1590846600,13,Fair,1029.92,45
15,1590848400,13,Fair,1029.92,45
15,1590850200,17,Fair,1029.92,45
15,1590852000,17,Fair,1029.92,45
15,1590853800,15,Fair,1029.92,45
15,1590855600,11,Fair,1029.92,45
14,1590857400,13,Fair,1029.92,44
14,1590859200,11,Fair,1029.92,48
14,1590861000,15,Fair,1029.92,48
14,1590862800,11,Fair,1029.92,48
14,1590864600,9,Fair,1029.92,48
13,1590866400,9,Fair,1029.92,51
13,1590868200,7,Fair,1029.92,51
12,1590870000,7,Fair,1030.92,54
11,1590871800,6,Fair,1030.92,58
11,1590873600,2,Fair,1030.92,58
10,1590875400,4,Fair,1030.92,62
